id,location_folder,location_file
1338,GaitherHomecoming,TGHH_BEST_OF_THE_BOOTH_BROTHERS
2828,GaitherHomecoming,TGHH_LYNDA_RANDLE_HOMECOMING
,CurtLandry,CLM01-48
,CurtLandry,CLM01-49
,CurtLandry,CLM01-50
,CurtLandry,CLM01-51
,CurtLandry,CLM01-52
,CrefloDollar/2019.01,CDM_CD0119_28
,CrefloDollar/2019.01,CDM_CD0119_29
,CrefloDollar/2019.01,CDM_CD0119_30
,CrefloDollar/2019.01,CDM_CD0119_31
,CrefloDollar/2019.02,CDM_CD0219_01
6124,GaitherHomecoming,TGHH_STEVEN_CURTIS_CHAPMAN
,CrefloDollar/2019.11,CDM_CW1119_03
8017,GaitherHomecoming,TGHH_GVB_REUNION_VOL_1
,CrefloDollar/2019.11,CDM_CW1119_10
,JoyceMeyer/2019.11,JMMEEL_1367_CAN_1_11252019cc_Legalized
,JoyceMeyer/2019.11,JMMEEL_1367_CAN_2_11262019cc_Legalized
,CrefloDollar/2020/2020.02,CDM_CW0220_16
,CrefloDollar/2020/2020.02,CDM_CW0220_23
,CrefloDollar/2020/2020.03,CDM_CW0320_01
,CrefloDollar/2020/2020.03,CDM_CW0320_08
,CrefloDollar/2020/2020.03,CDM_CW0320_29
,CrefloDollar/2020/2020.04,CDM_CD0420_20
,CrefloDollar/2020/2020.07,CDM_CW0720_05
,CrefloDollar/2020/2020.07,CDM_CW0720_12
,CrefloDollar/2020/2020.07,CDM_CW0720_19
,CrefloDollar/2020/2020.07,CDM_CW0720_26
,CrefloDollar/2020/2020.08,CDM_CD0820_03
,CrefloDollar/2020/2020.08,CDM_CD0820_04
,CrefloDollar/2020/2020.08,CDM_CW0820_02
,CrefloDollar/2019.08,CDM_CW0819_04
,CrefloDollar/2019.08,CDM_CW0819_11
,CrefloDollar/2019.08,CDM_CW0819_18
,CrefloDollar/2019.08,CDM_CW0819_25
,CrefloDollar/2019.09,CDM_CW0919_01
,CrefloDollar/2019.09,CDM_CW0919_08
,CrefloDollar/2019.04,CDM_CD0419_01
,CrefloDollar/2019.04,CDM_CD0419_02
,CrefloDollar/2019.04,CDM_CD0419_03
,CrefloDollar/2019.04,CDM_CD0419_04
,CrefloDollar/2019.04,CDM_CD0419_05
,CrefloDollar/2019.04,CDM_CD0419_08
,CrefloDollar/2020/2020.08,CDM_CD0820_05
,CrefloDollar/2020/2020.08,CDM_CD0820_06
,CrefloDollar/2020/2020.08,CDM_CD0820_07
,CrefloDollar/2020/2020.08,CDM_CD0820_10
,CrefloDollar/2020/2020.08,CDM_CD0820_11
,CrefloDollar/2020/2020.08,CDM_CW0820_09
,JoyceMeyer/2020/2020.08,JMMEEL_1405_CAN_1_08172020cc_Legalized
,JoyceMeyer/2020/2020.08,JMMEEL_1405_CAN_2_08182020cc_Legalized
,CrefloDollar/2020/2020.08,CDM_CW0820_16
,CrefloDollar/2020/2020.08,CDM_CW0820_23
