__str__,video_type,id,title,description,access_tier,access_reason,access_expiry,length,max_resolution,season,episode_number,creation_date,update_date,live_start_date,live_end_date,is_live,is_featured,location_file,location_folder,thumbnail_image,episode_image,feature_image,available_regions,maturity_rating,is_kids,genre,lead_roles,guest_roles,directors,contract,trailer_movie,trailer_season,content_type,object_id,airtable_record,sync_status,tags,organizations,Reason for Deleting
The Gaither Gospel Hour :: 1 :: The Best of the Booth Brothers,Episode,1338,The Best of the Booth Brothers,"Woven into this musical scrapbook are never-before-seen interviews with Michael Booth, Ronnie Booth and Jim Brady. With heart and humor, this video offers an unprecedented glimpse into the lives, the souls and the musical journey of The Booth Brothers.",2_PREMIUM,,,57:30,1080,The Gaither Gospel Hour :: 1,11,2018-08-29 17:08,2025-04-29 12:01,2018-12-14 01:00,2025-04-23 08:41,,,TGHH_BEST_OF_THE_BOOTH_BROTHERS,GaitherHomecoming,,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_BEST_OF_THE_BOOTH_BROTHERS.jpg,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_648x364.jpg,,,,,,,,,,,,,recdfBdwALqpnC3ET,DELETE,genre:music series,Corco+,Duplicated
The Gaither Gospel Hour :: 1 :: Cliff Barrows: Celebrating The Music,Episode,2636,Cliff Barrows: Celebrating The Music,"One of the most recognized choir directors and vocalists of our time, Cliff Barrows has been heard and seen on platforms and across radio and television airwaves since 1945.  His direction and leadership have been a hallmark of the Bill Graham Crusades, and his messages in song have been an encouragement to choirs and comfort to audiences around the world.  This collection features an historic interview with Bill Gaither and contains special performances from Mr. Barrows and vocal appearances by George Beverly Shea, Andre Crouch, the Gaither Vocal Band and many more.",2_PREMIUM,,,57:29,1080,The Gaither Gospel Hour :: 1,9,2018-08-29 17:08,2024-08-14 12:00,2018-07-27 01:00,2024-08-13 00:00,,,TGHH_CLIFF_BARROWS,GaitherHomecoming,,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_CLIFF_BARROWS.jpg,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_648x364.jpg,,,,,,,,,,,,,recTN9eyzCkhmruO3,DELETE,genre:music series,Corco+,Duplicated
The Gaither Gospel Hour :: 1 :: Lynda Randle: Homecoming Favorites,Episode,2828,Lynda Randle: Homecoming Favorites,"One of the most popular artists on the HOMECOMING stage, songstress Lynda Randle has recorded some of the life-giving classics that have influenced her for decades.  Featuring “God On The Mountain,” “One Day At A Time,” “Walking Up The King’s Highway” and more, these songs of hope showcase her familiar, heartwarming vocals and offer messages that have stood the test of time.",2_PREMIUM,,,57:29,720,The Gaither Gospel Hour :: 1,22,2018-08-29 17:08,2024-08-14 12:00,2019-03-08 01:00,2024-08-13 00:00,,,TGHH_LYNDA_RANDLE_HOMECOMING,GaitherHomecoming,,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_LYNDA_RANDLE_HOMECOMING.jpg,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_648x364.jpg,,,,,,,,,,,,,recby1KHcNNTAwheV,DELETE,genre:music series,Corco+,Duplicated
Curt Landry Weekly Teaching :: 1 :: Nothing New Under the Sun - Part 1,Episode,,Nothing New Under the Sun - Part 1,,2_PREMIUM,,,28:45,1080,Curt Landry Weekly Teaching :: 1,,,,,,,,CLM01-48,CurtLandry,,,https://images.corcoplus.com/TvShows/CurtLandry/CLM_648x364.jpg,,,,,,,,202121 - Serv Others - Curt Landry Ministries,,,,,recYv7TfGDiwpJAlU,DELETE,genre:teaching series,Corco+,Duplicated
Curt Landry Weekly Teaching :: 1 :: Nothing New Under the Sun - Part 2,Episode,,Nothing New Under the Sun - Part 2,,2_PREMIUM,,,28:47,1080,Curt Landry Weekly Teaching :: 1,,,,,,,,CLM01-49,CurtLandry,,,https://images.corcoplus.com/TvShows/CurtLandry/CLM_648x364.jpg,,,,,,,,202121 - Serv Others - Curt Landry Ministries,,,,,recyXwol3PkVmxC8L,DELETE,genre:teaching series,Corco+,Duplicated
Curt Landry Weekly Teaching :: 1 :: Rest In the Fire of His Love - Part 1,Episode,,Rest In the Fire of His Love - Part 1,,2_PREMIUM,,,28:50,1080,Curt Landry Weekly Teaching :: 1,,,,,,,,CLM01-50,CurtLandry,,,https://images.corcoplus.com/TvShows/CurtLandry/CLM_648x364.jpg,,,,,,,,202121 - Serv Others - Curt Landry Ministries,,,,,recmh6wdKLGGn08rb,DELETE,genre:teaching series,Corco+,Duplicated
Curt Landry Weekly Teaching :: 1 :: Rest In the Fire of His Love - Part 2,Episode,,Rest In the Fire of His Love - Part 2,,2_PREMIUM,,,28:45,1080,Curt Landry Weekly Teaching :: 1,,,,,,,,CLM01-51,CurtLandry,,,https://images.corcoplus.com/TvShows/CurtLandry/CLM_648x364.jpg,,,,,,,,202121 - Serv Others - Curt Landry Ministries,,,,,recmDOm2z7UcL4lOA,DELETE,genre:teaching series,Corco+,Duplicated
Curt Landry Weekly Teaching :: 1 :: Power of Reconciliation with Guest Dr Alveda King,Episode,,Power of Reconciliation with Guest Dr Alveda King,,2_PREMIUM,,,28:42,1080,Curt Landry Weekly Teaching :: 1,,,,,,,,CLM01-52,CurtLandry,,,https://images.corcoplus.com/TvShows/CurtLandry/CLM_648x364.jpg,,,,,,,,202121 - Serv Others - Curt Landry Ministries,,,,,recxEsuiiUYyzv8Ec,DELETE,genre:teaching series,Corco+,Duplicated
Changing Your World with Creflo Dollar :: 2 :: How Not to be Tempted by Unbelief - Part 1a,Episode,,How Not to be Tempted by Unbelief - Part 1a,"As Christians, it always benefits us to practice the basics of biblical teachings. Our success or failure depends on us mastering these basics, one of which is the importance of avoiding unbelief. Abraham, known for his great faith, believed God when God made him a promise. The Bible is filled with promises God makes to us, and when we face situations in our lives, we have the same opportunity as Abraham to exercise our faith. Abraham and Sarah’s physical circumstances contradicted what God said, and so Abraham deliberately considered the promise, not the contradiction. We cannot be tempted by something we refuse to think about. Our minds are the arena of faith, and therefore, overcoming temptation and unbelief begins with our thoughts.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 2,,,,2019-01-28 00:00,,,,CDM_CD0119_28,CrefloDollar/2019.01,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recxgkV7COvC1HRLc,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 2 :: How Not to be Tempted by Unbelief - Part 1b,Episode,,How Not to be Tempted by Unbelief - Part 1b,"As Christians, it always benefits us to practice the basics of biblical teachings. Our success or failure depends on us mastering these basics, one of which is the importance of avoiding unbelief. Abraham, known for his great faith, believed God when God made him a promise. The Bible is filled with promises God makes to us, and when we face situations in our lives, we have the same opportunity as Abraham to exercise our faith. Abraham and Sarah’s physical circumstances contradicted what God said, and so Abraham deliberately considered the promise, not the contradiction. We cannot be tempted by something we refuse to think about. Our minds are the arena of faith, and therefore, overcoming temptation and unbelief begins with our thoughts.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 2,,,,2019-01-29 00:00,,,,CDM_CD0119_29,CrefloDollar/2019.01,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recPBJbRUb9beXItQ,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
